time,temperature_2m
2023-08-03,28.375
2023-08-04,28.40416666666667
2023-08-05,28.75
2023-08-06,27.291666666666668
2023-08-07,27.266666666666666
2023-08-08,26.979166666666668
2023-08-09,28.041666666666668
2023-08-10,28.53333333333333
2023-08-11,28.295833333333334
2023-08-12,28.666666666666668
2023-08-13,28.15833333333333
2023-08-14,28.545833333333334
2023-08-15,28.724999999999998
2023-08-16,29.454166666666666
2023-08-17,30.09583333333333
2023-08-18,30.34583333333333
2023-08-19,29.6125
2023-08-20,29.983333333333334
2023-08-21,30.608333333333334
2023-08-22,29.104166666666668
2023-08-23,28.391666666666666
2023-08-24,28.395833333333332
2023-08-25,26.974999999999998
2023-08-26,27.745833333333334
2023-08-27,28.25
2023-08-28,29.150000000000002
2023-08-29,30.55
2023-08-30,31.775000000000002
2023-08-31,30.679166666666664
2023-09-01,30.495833333333334
2023-09-02,29.875
2023-09-03,29.95
2023-09-04,30.1875
2023-09-05,31.40833333333333
2023-09-06,29.78333333333333
2023-09-07,29.233333333333334
2023-09-08,27.695833333333336
2023-09-09,29.925
2023-09-10,30.09583333333333
2023-09-11,29.766666666666666
2023-09-12,29.120833333333334
2023-09-13,29.504166666666666
2023-09-14,28.962500000000002
2023-09-15,29.545833333333334
2023-09-16,30.7
2023-09-17,31.129166666666666
2023-09-18,28.333333333333332
2023-09-19,28.145833333333332
2023-09-20,27.383333333333336
2023-09-21,27.7375
2023-09-22,28.054166666666664
2023-09-23,28.383333333333336
2023-09-24,28.162499999999998
2023-09-25,28.575
2023-09-26,29.795833333333334
2023-09-27,29.604166666666668
2023-09-28,31.625
2023-09-29,30.308333333333334
2023-09-30,28.758333333333336
2023-10-01,28.979166666666668
2023-10-02,28.8
2023-10-03,27.375
2023-10-04,27.099999999999998
2023-10-05,26.84583333333333
2023-10-06,27.2625
2023-10-07,27.979166666666668
2023-10-08,28.308333333333334
2023-10-09,28.6875
2023-10-10,29.40833333333333
2023-10-11,29.150000000000002
2023-10-12,29.929166666666664
2023-10-13,29.4375
2023-10-14,28.97083333333333
2023-10-15,28.8125
2023-10-16,28.462500000000002
2023-10-17,27.870833333333334
2023-10-18,27.675
2023-10-19,27.679166666666664
2023-10-20,27.316666666666666
2023-10-21,27.40416666666667
2023-10-22,27.808333333333334
2023-10-23,27.004166666666666
2023-10-24,26.212500000000002
2023-10-25,27.545833333333334
2023-10-26,27.441666666666666
2023-10-27,27.224999999999998
2023-10-28,26.854166666666668
2023-10-29,26.3
2023-10-30,26.45
2023-10-31,27.3875
2023-11-01,28.233333333333334
2023-11-02,28.34166666666667
2023-11-03,27.416666666666668
